time,temprature,humidity
2026-03-18 00:00:00,21.8,83
2026-03-18 01:00:00,21.3,78
2026-03-18 02:00:00,21.6,78
2026-03-18 03:00:00,23.5,71
2026-03-18 04:00:00,25.2,65
2026-03-18 05:00:00,27.0,56
2026-03-18 06:00:00,29.5,46
2026-03-18 07:00:00,29.4,48
2026-03-18 08:00:00,29.0,50
2026-03-18 09:00:00,28.3,54
2026-03-18 10:00:00,28.9,51
2026-03-18 11:00:00,29.0,50
2026-03-18 12:00:00,26.6,58
2026-03-18 13:00:00,26.2,64
2026-03-18 14:00:00,25.5,67
2026-03-18 15:00:00,24.7,70
2026-03-18 16:00:00,21.0,84
2026-03-18 17:00:00,20.7,84
2026-03-18 18:00:00,20.7,85
2026-03-18 19:00:00,20.7,85
2026-03-18 20:00:00,20.7,85
2026-03-18 21:00:00,20.6,86
2026-03-18 22:00:00,20.5,86
2026-03-18 23:00:00,20.3,87
2026-03-19 00:00:00,20.2,88
2026-03-19 01:00:00,20.2,87
2026-03-19 02:00:00,20.9,83
2026-03-19 03:00:00,22.2,76
2026-03-19 04:00:00,22.2,77
2026-03-19 05:00:00,24.2,68
2026-03-19 06:00:00,26.8,57
2026-03-19 07:00:00,29.0,45
2026-03-19 08:00:00,30.4,39
2026-03-19 09:00:00,30.6,37
2026-03-19 10:00:00,29.9,38
2026-03-19 11:00:00,29.7,38
2026-03-19 12:00:00,28.0,44
2026-03-19 13:00:00,24.2,62
2026-03-19 14:00:00,23.0,70
2026-03-19 15:00:00,22.3,76
2026-03-19 16:00:00,21.6,79
2026-03-19 17:00:00,21.0,82
2026-03-19 18:00:00,20.8,82
2026-03-19 19:00:00,20.6,81
2026-03-19 20:00:00,20.3,82
2026-03-19 21:00:00,20.1,82
2026-03-19 22:00:00,19.9,83
2026-03-19 23:00:00,19.6,84
2026-03-20 00:00:00,19.6,85
2026-03-20 01:00:00,19.2,88
2026-03-20 02:00:00,20.1,87
2026-03-20 03:00:00,23.0,75
2026-03-20 04:00:00,26.2,61
2026-03-20 05:00:00,28.2,54
2026-03-20 06:00:00,29.5,48
2026-03-20 07:00:00,30.5,44
2026-03-20 08:00:00,31.3,40
2026-03-20 09:00:00,31.9,37
2026-03-20 10:00:00,32.0,35
2026-03-20 11:00:00,31.6,36
2026-03-20 12:00:00,30.9,36
2026-03-20 13:00:00,29.4,41
2026-03-20 14:00:00,28.2,50
2026-03-20 15:00:00,27.5,53
2026-03-20 16:00:00,26.3,56
2026-03-20 17:00:00,25.1,61
2026-03-20 18:00:00,24.2,63
2026-03-20 19:00:00,23.4,66
2026-03-20 20:00:00,23.0,69
2026-03-20 21:00:00,22.3,72
2026-03-20 22:00:00,22.0,77
2026-03-20 23:00:00,21.5,81
2026-03-21 00:00:00,21.3,82
2026-03-21 01:00:00,21.9,80
2026-03-21 02:00:00,23.0,76
2026-03-21 03:00:00,24.5,70
2026-03-21 04:00:00,26.7,61
2026-03-21 05:00:00,29.4,50
2026-03-21 06:00:00,31.4,41
2026-03-21 07:00:00,32.4,37
2026-03-21 08:00:00,32.8,36
2026-03-21 09:00:00,32.9,35
2026-03-21 10:00:00,33.1,33
2026-03-21 11:00:00,33.0,31
2026-03-21 12:00:00,32.4,33
2026-03-21 13:00:00,30.9,41
2026-03-21 14:00:00,28.9,52
2026-03-21 15:00:00,27.2,62
2026-03-21 16:00:00,26.2,68
2026-03-21 17:00:00,25.6,73
2026-03-21 18:00:00,25.0,77
2026-03-21 19:00:00,24.3,80
2026-03-21 20:00:00,23.8,83
2026-03-21 21:00:00,23.3,85
2026-03-21 22:00:00,22.7,88
2026-03-21 23:00:00,22.2,90
2026-03-22 00:00:00,22.2,90
2026-03-22 01:00:00,22.9,86
2026-03-22 02:00:00,24.1,79
2026-03-22 03:00:00,25.7,71
2026-03-22 04:00:00,28.0,60
2026-03-22 05:00:00,30.7,48
2026-03-22 06:00:00,32.7,39
2026-03-22 07:00:00,33.7,34
2026-03-22 08:00:00,34.1,31
2026-03-22 09:00:00,34.0,30
2026-03-22 10:00:00,33.6,32
2026-03-22 11:00:00,32.7,35
2026-03-22 12:00:00,31.4,41
2026-03-22 13:00:00,29.5,50
2026-03-22 14:00:00,27.2,60
2026-03-22 15:00:00,25.4,68
2026-03-22 16:00:00,24.6,72
2026-03-22 17:00:00,24.2,74
2026-03-22 18:00:00,24.0,75
2026-03-22 19:00:00,23.1,82
2026-03-22 20:00:00,23.0,81
2026-03-22 21:00:00,22.8,81
2026-03-22 22:00:00,22.4,84
2026-03-22 23:00:00,21.9,89
2026-03-23 00:00:00,21.9,90
2026-03-23 01:00:00,22.7,86
2026-03-23 02:00:00,24.0,80
2026-03-23 03:00:00,25.7,72
2026-03-23 04:00:00,27.8,64
2026-03-23 05:00:00,30.2,54
2026-03-23 06:00:00,32.0,47
2026-03-23 07:00:00,32.9,43
2026-03-23 08:00:00,33.3,41
2026-03-23 09:00:00,33.3,40
2026-03-23 10:00:00,33.0,40
2026-03-23 11:00:00,32.3,42
2026-03-23 12:00:00,31.4,46
2026-03-23 13:00:00,29.9,52
2026-03-23 14:00:00,28.2,60
2026-03-23 15:00:00,26.6,67
2026-03-23 16:00:00,25.4,73
2026-03-23 17:00:00,24.3,78
2026-03-23 18:00:00,23.4,81
2026-03-23 19:00:00,22.9,82
2026-03-23 20:00:00,22.7,82
2026-03-23 21:00:00,22.5,82
2026-03-23 22:00:00,22.1,84
2026-03-23 23:00:00,21.7,86
2026-03-24 00:00:00,21.9,86
2026-03-24 01:00:00,22.7,83
2026-03-24 02:00:00,24.1,78
2026-03-24 03:00:00,25.8,72
2026-03-24 04:00:00,28.1,63
2026-03-24 05:00:00,30.7,52
2026-03-24 06:00:00,32.7,44
2026-03-24 07:00:00,33.7,39
2026-03-24 08:00:00,34.1,37
2026-03-24 09:00:00,34.0,37
2026-03-24 10:00:00,33.2,40
2026-03-24 11:00:00,31.8,44
2026-03-24 12:00:00,30.4,50
2026-03-24 13:00:00,28.8,57
2026-03-24 14:00:00,27.1,66
2026-03-24 15:00:00,25.8,72
2026-03-24 16:00:00,25.2,75
2026-03-24 17:00:00,25.0,77
2026-03-24 18:00:00,24.8,78
2026-03-24 19:00:00,24.4,79
2026-03-24 20:00:00,24.1,79
2026-03-24 21:00:00,23.8,79
2026-03-24 22:00:00,23.6,79
2026-03-24 23:00:00,23.5,78
